n;characteristic;E(z);D(z);sqrt(D(z));E(z) ± sqrt(D(z))
10;x̄;0.47157;3013.62709;54.89651;0.47157 ± 54.89651
10;med;-0.00803;0.36923;0.60764;-0.00803 ± 0.60764
10;z_R;2.39840;75124.41296;274.08833;2.39840 ± 274.08833
10;z_Q;-0.04778;0.99930;0.99965;-0.04778 ± 0.99965
10;z_tr;-0.01014;1.32456;1.15090;-0.01014 ± 1.15090
100;x̄;-7.39347;72112.99668;268.53863;-7.39347 ± 268.53863
100;med;-0.00509;0.02376;0.15413;-0.00509 ± 0.15413
100;z_R;-371.11843;179885162.60421;13412.12745;-371.11843 ± 13412.12745
100;z_Q;-0.01052;0.05530;0.23516;-0.01052 ± 0.23516
100;z_tr;-0.01315;0.05500;0.23452;-0.01315 ± 0.23452
1000;x̄;0.18811;526.77333;22.95154;0.18811 ± 22.95154
1000;med;-0.00071;0.00254;0.05042;-0.00071 ± 0.05042
1000;z_R;86.87497;123869924.85326;11129.68665;86.87497 ± 11129.68665
1000;z_Q;0.00102;0.00497;0.07051;0.00102 ± 0.07051
1000;z_tr;0.00035;0.00463;0.06803;0.00035 ± 0.06803
