n;characteristic;E(z);D(z);sqrt(D(z));E(z) ± sqrt(D(z))
10;x̄;0.01823;0.10306;0.32102;0.01823 ± 0.32102
10;med;0.01435;0.07635;0.27631;0.01435 ± 0.27631
10;z_R;0.04370;0.40598;0.63717;0.04370 ± 0.63717
10;z_Q;0.00534;0.09168;0.30278;0.00534 ± 0.30278
10;z_tr;0.01186;0.08271;0.28759;0.01186 ± 0.28759
100;x̄;-0.00095;0.00982;0.09909;-0.00095 ± 0.09909
100;med;-0.00286;0.00608;0.07796;-0.00286 ± 0.07796
100;z_R;0.02062;0.38743;0.62244;0.02062 ± 0.62244
100;z_Q;-0.00222;0.00995;0.09974;-0.00222 ± 0.09974
100;z_tr;-0.00225;0.00756;0.08698;-0.00225 ± 0.08698
1000;x̄;0.00004;0.00099;0.03146;0.00004 ± 0.03146
1000;med;0.00019;0.00051;0.02249;0.00019 ± 0.02249
1000;z_R;0.00191;0.37583;0.61305;0.00191 ± 0.61305
1000;z_Q;-0.00018;0.00100;0.03167;-0.00018 ± 0.03167
1000;z_tr;-0.00005;0.00074;0.02729;-0.00005 ± 0.02729
