n;characteristic;E(z);D(z);sqrt(D(z));E(z) ± sqrt(D(z))
10;x̄;-0.00214;0.09850;0.31385;-0.00214 ± 0.31385
10;med;-0.00903;0.13365;0.36559;-0.00903 ± 0.36559
10;z_R;-0.00169;0.18470;0.42976;-0.00169 ± 0.42976
10;z_Q;-0.00095;0.11300;0.33615;-0.00095 ± 0.33615
10;z_tr;-0.00225;0.10249;0.32014;-0.00225 ± 0.32014
100;x̄;0.00231;0.01075;0.10367;0.00231 ± 0.10367
100;med;0.00345;0.01492;0.12214;0.00345 ± 0.12214
100;z_R;0.00101;0.09277;0.30459;0.00101 ± 0.30459
100;z_Q;0.00237;0.01315;0.11465;0.00237 ± 0.11465
100;z_tr;0.00251;0.01123;0.10595;0.00251 ± 0.10595
1000;x̄;-0.00172;0.00103;0.03210;-0.00172 ± 0.03210
1000;med;-0.00095;0.00159;0.03991;-0.00095 ± 0.03991
1000;z_R;-0.00559;0.06297;0.25093;-0.00559 ± 0.25093
1000;z_Q;-0.00235;0.00117;0.03420;-0.00235 ± 0.03420
1000;z_tr;-0.00162;0.00107;0.03264;-0.00162 ± 0.03264
