n;characteristic;E(z);D(z);sqrt(D(z));E(z) ± sqrt(D(z))
10;x̄;10.04010;1.08588;1.04206;10.04010 ± 1.04206
10;med;9.91100;1.56558;1.25123;9.91100 ± 1.25123
10;z_R;10.28650;1.94567;1.39487;10.28650 ± 1.39487
10;z_Q;9.98513;1.23445;1.11106;9.98513 ± 1.11106
10;z_tr;9.97850;1.15219;1.07340;9.97850 ± 1.07340
100;x̄;10.02264;0.09363;0.30599;10.02264 ± 0.30599
100;med;9.87100;0.18636;0.43169;9.87100 ± 0.43169
100;z_R;10.92350;0.94040;0.96974;10.92350 ± 0.96974
100;z_Q;9.93275;0.13104;0.36199;9.93275 ± 0.36199
100;z_tr;9.93424;0.09923;0.31501;9.93424 ± 0.31501
1000;x̄;10.00053;0.00980;0.09901;10.00053 ± 0.09901
1000;med;9.99750;0.00224;0.04737;9.99750 ± 0.04737
1000;z_R;11.65300;0.69009;0.83072;11.65300 ± 0.83072
1000;z_Q;9.99462;0.00283;0.05320;9.99462 ± 0.05320
1000;z_tr;9.90571;0.01046;0.10226;9.90571 ± 0.10226
