n;characteristic;E(z);D(z);sqrt(D(z));E(z) ± sqrt(D(z))
10;x̄;0.00011;0.09995;0.31615;0.00011 ± 0.31615
10;med;0.00759;0.22700;0.47644;0.00759 ± 0.47644
10;z_R;-0.00234;0.04705;0.21691;-0.00234 ± 0.21691
10;z_Q;0.00086;0.13873;0.37246;0.00086 ± 0.37246
10;z_tr;0.00072;0.13022;0.36086;0.00072 ± 0.36086
100;x̄;0.00180;0.00964;0.09820;0.00180 ± 0.09820
100;med;0.00092;0.02832;0.16827;0.00092 ± 0.16827
100;z_R;0.00087;0.00057;0.02382;0.00087 ± 0.02382
100;z_Q;0.00247;0.01426;0.11940;0.00247 ± 0.11940
100;z_tr;0.00195;0.01346;0.11603;0.00195 ± 0.11603
1000;x̄;-0.00079;0.00096;0.03094;-0.00079 ± 0.03094
1000;med;-0.00145;0.00281;0.05304;-0.00145 ± 0.05304
1000;z_R;-0.00006;0.00001;0.00247;-0.00006 ± 0.00247
1000;z_Q;-0.00039;0.00139;0.03726;-0.00039 ± 0.03726
1000;z_tr;-0.00076;0.00135;0.03668;-0.00076 ± 0.03668
